#qRg,(qRg)^2I(q)/I(0)
0.476,0.220
0.682,0.412
0.897,0.611
1.097,0.820
1.317,1.003
1.555,1.183
1.742,1.309
1.961,1.380
2.170,1.452
2.367,1.504
2.600,1.513
2.824,1.510
3.015,1.415
3.223,1.451
3.428,1.415
3.635,1.326
3.843,1.379
4.050,1.317
4.278,1.200
4.482,1.094
4.689,1.103
4.897,0.976
5.106,1.263
5.334,1.021
5.541,1.094
5.746,1.094
5.953,0.914
6.162,0.959
6.366,0.870
6.577,0.914
6.782,0.664
7.014,0.949
7.218,0.843
7.424,0.575
7.630,0.423
7.839,0.692
8.044,0.459
8.276,0.628
8.481,0.396
8.688,0.378
8.896,0.540
9.105,0.513
9.307,0.066
9.520,0.727
9.726,0.450
9.951,0.221
