#q(in ang),I(q)
0.0184,4.6397
0.0215,4.4949
0.0245,4.3442
0.0275,4.1876
0.0299,4.0644
0.0322,3.9186
0.0346,3.7768
0.0369,3.6320
0.0393,3.4931
0.0413,3.3709
0.0436,3.2182
0.0463,3.0527
0.0490,2.8902
0.0517,2.7306
0.0544,2.5799
0.0571,2.4351
0.0597,2.2873
0.0624,2.1514
0.0655,2.0096
0.0688,1.8689
0.0722,1.7270
0.0759,1.5899
0.0799,1.4658
0.0839,1.3358
0.0879,1.2353
0.0920,1.1427
0.0960,1.0521
0.1000,0.9811
0.1041,0.9102
0.1081,0.8472
0.1121,0.7979
0.1161,0.7408
0.1202,0.6915
0.1242,0.6442
0.1282,0.6009
0.1323,0.5615
0.1363,0.5221
0.1403,0.4886
0.1443,0.4551
0.1484,0.4216
0.1524,0.3960
0.1564,0.3684
0.1605,0.3428
0.1645,0.3192
0.1685,0.2975
0.1725,0.2798
0.1766,0.2601
0.1806,0.2423
0.1846,0.2207
0.1887,0.2069
0.1927,0.1931
0.1967,0.1734
0.2008,0.1556
0.2048,0.1458
0.2088,0.1281
0.2128,0.1182
0.2169,0.1005
0.2209,0.0926
0.2249,0.0788
0.2290,0.0670
0.2330,0.0532
0.2370,0.0493
0.2400,0.0414
