LAMMPS_bead_id,bead_type,vdW_ang,charge_e,mass
1,C_alpha ,1.9,0,56.04298
2,Gly,2.25,0,57.051
3,Ala,2.52,0,15.03452
4,Arg,3.28,1,100.1423
5,Lys,3.18,1,72.1289
6,His,3.04,0/1,82.10384
7,Asp,2.79,-1,59.04322
8,Glu,2.96,-1,73.0698
9,Ser,2.59,0,31.03352
10,Thr,2.81,0,45.0601
11,Asn,2.84,0,58.05886
12,Gln,3.01,0,72.08544
13,Cys,2.74,0,47.09952
14,Pro,2.78,0,41.0718
15,Ile,3.09,0,57.11426
16,Leu,3.09,0,57.11426
17,Met,3.09,0,75.15268
18,Phe,3.18,0,91.13048
19,Trp,3.39,0,130.16652
20,Tyr,3.23,0,107.12948
21,Val,2.93,0,43.08768
