21	CG_beads	aa	sigma	charge	mass
1	CA	___	1.90	0	56.04298		
2	CA	GLY	2.25	0	57.051     #glycine
3	CB	ALA	2.52	0	15.03452
4	CB	ARG	3.28	1	100.1423
5	CB	LYS	3.18	1	72.1289
6	CB	HIS	3.04	0/1	82.10384
7	CB	ASP	2.79	-1	59.04322
8	CB	GLU	2.96	-1	73.0698
9	CB	SER	2.59	0	31.03352
10	CB	THR	2.81	0	45.0601
11	CB	ASN	2.84	0	58.05886
12	CB	GLN	3.01	0	72.08544
13	CB	CYS	2.74	0	47.09952
14	CB	PRO	2.78	0	41.0718
15	CB	ILE	3.09	0	57.11426
16	CB	LEU	3.09	0	57.11426
17	CB	MET	3.09	0	75.15268
18	CB	PHE	3.18	0	91.13048
19	CB	TRP	3.39	0	130.16652
20	CB	TYR	3.23	0	107.12948
21	CB	VAL	2.93	0	43.08768

